Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0603_,1,100nF,C30926
C2,C_0805_,1,2.2uF,C19110
C3,C_0805_,1,10uF,C17024
C4,C_0603_,1,10uF 50V,C1591
C5,C_0603_,1,10uF 6.3V,C1691
C6,C_0603_,1,100nF,
C7,C_0402,1,0.1uF,
D1,D_1206_,1,Schottky,C143805
D2,LED-RGB-1.6x1.6,1,RGB,C264508
J1,JLC-PinHeader_1x04_P2.54mm_Right,1,Conn_01x04,C91552
L1,L_4x4_,1,6.8uH,C354575
L2,L_4x4_,1,10uH,
R1,R_0603,1,100k 1%,C14675
R2,R_0603,1,30k 1%,C100001
R3,R_0402_,1,124k,
R4,R_0402_,1,40k2,
R5,R_0402_,1,1M,
R6,R_0402,1,680R,
R7,R_0402,1,2K,
R8,R_0402,1,220R,
R9,R_0402,1,4k7,
U1,SOT-23-Thin-6-Reg,1,LMR16006XDDCR,C87080
U2,SOT-23-6-MD8942,1,MD8942,C2684786
U4,CH340X,1,CH340X,C3035748
